"names(dataset)"
"record_id"
"redcap_repeat_instrument"
"redcap_repeat_instance"
"ra_name_label"
"labelling_date"
"labelling_time"
"ra_instruct"
"attempt"
"ra_instruct_1stattempt"
"ra_instruct_2nd_3rdattempt"
"labelling_hh_on_google_maps_complete"
"research_assistant_s_name"
"screening_date"
"time_started"
"area"
"study_community"
"square_number"
"sub_square_letter"
"confirm_infrontofgate_door"
"gps_coordinates"
"gps_coordinates_2"
"hhmember_present"
"hh_not_present_confirm"
"intro_script1"
"hoh_at_home"
"intro_script_2"
"interest_status"
"screening_for_eligibility"
"name"
"surname"
"how_old_are_you"
"dob"
"calculated_age"
"participant_gender"
"lang_fluent"
"community"
"ra_the_participant_is_elig"
"ra_the_person_is_not_eligi"
"note_to_ra_you_will_now_st"
"preferred_language_to_be_u"
"did_the_person_consent_to"
"participant_can_sign"
"i_name_surname_hereby_prov"
"signature_x"
"witness_name"
"i_name_surname_hereby_prov_2"
"signature_x_2"
"consent_date"
"pin_setup1"
"pin_setup2"
"pin_setup3"
"pin_setup4"
"pin_setup5"
"refconfirm"
"consented_the_person_has_a"
"pin"
"pin_display"
"consent_qc_1"
"consent_qc_2"
"consent_qc_3"
"contact_no"
"contact_no_2"
"contact_owner_other"
"timestamp_end_of_consent"
"screening_and_consenting_complete"
"demographics_date"
"time_started_demographics"
"ra_name_7fd31b"
"language_prefer"
"other_studies"
"other_studies_x"
"other_studies_time_e"
"other_studies_time_x"
"s1_q1"
"s1_q1_other"
"s1_q1x"
"s1_q1_otherx"
"place_of_birth_rsa_e"
"place_of_birth_other"
"specify_place_of_birth"
"place_of_birth_rsa_x"
"place_of_birth_other_x"
"specify_place_of_birth_x"
"s1_q5"
"s1_q5x"
"living_arrangement_e"
"living_arrangement_x"
"s1_q6"
"s1_q6x"
"s1_q7"
"s1_q7x"
"s1_q14"
"s1_q14x"
"s2_q2"
"s2_q2x"
"hoh_tb_hist_clinic"
"hoh_tb_clinic_specify"
"hhm_tb_e"
"hhm_tb_x"
"hhm_tb_hist_clinic"
"hhm_tb_clinic_specify"
"s2_q3"
"s2_q3x"
"s2_q5"
"s2_q5x"
"hh_member_hiv"
"hh_member_x"
"s2_q9"
"s2_q9x"
"s5_q1___1"
"s5_q1___2"
"s5_q1___3"
"s5_q1___4"
"s5_q1___5"
"s5_q1___6"
"s5_q1___7"
"s5_q1___8"
"s5_q1___9"
"s5_q1x___1"
"s5_q1x___2"
"s5_q1x___3"
"s5_q1x___4"
"s5_q1x___5"
"s5_q1x___6"
"s5_q1x___7"
"s5_q1x___8"
"s5_q1x___9"
"s5_q1_other"
"s5_q1_otherx"
"s5_q2___1"
"s5_q2___2"
"s5_q2___3"
"s5_q2___4"
"s5_q2___5"
"s5_q2___6"
"s5_q2___7"
"s5_q2x___1"
"s5_q2x___2"
"s5_q2x___3"
"s5_q2x___4"
"s5_q2x___5"
"s5_q2x___6"
"s5_q2x___7"
"s5_q2_other"
"s5_q2_otherx"
"s5_q3___1"
"s5_q3___2"
"s5_q3___3"
"s5_q3___4"
"s5_q3___5"
"s5_q3___6"
"s5_q3___7"
"s5_q3___8"
"s5_q3___9"
"s5_q3___10"
"s5_q3___11"
"s5_q3x___1"
"s5_q3x___2"
"s5_q3x___3"
"s5_q3x___4"
"s5_q3x___5"
"s5_q3x___6"
"s5_q3x___7"
"s5_q3x___8"
"s5_q3x___9"
"s5_q3x___10"
"s5_q3x___11"
"s5_q3_other"
"s5_q3_otherx"
"s5_q4"
"s5_q4x"
"s5_q5"
"s5_q5x"
"mental_health_history_e___1"
"mental_health_history_e___2"
"mental_health_history_e___3"
"mental_health_history_e___4"
"mental_health_history_e___5"
"mental_health_history_e___6"
"mental_health_history_e___7"
"mental_health_history_e___8"
"mental_health_history_e___9"
"mental_health_history_e___10"
"mental_health_history_e___11"
"specify_disorder"
"mental_health_history_x___1"
"mental_health_history_x___2"
"mental_health_history_x___3"
"mental_health_history_x___4"
"mental_health_history_x___5"
"mental_health_history_x___6"
"mental_health_history_x___7"
"mental_health_history_x___8"
"mental_health_history_x___9"
"mental_health_history_x___10"
"mental_health_history_x___11"
"specify_disorder_x"
"mental_health_history2_e"
"mental_health_history2_x"
"fam_mental_health1_e"
"fam_mental_health1_x"
"fam_mental_health2_e"
"fam_mental_health2_x"
"total_hhm"
"gender_hhm_1"
"age_hhm_1"
"gender_hhm_2"
"age_hhm_2"
"gender_hhm_3"
"age_hhm_3"
"gender_hhm_4"
"age_hhm_4"
"gender_hhm_5"
"age_hhm_5"
"gender_hhm_6"
"age_hhm_6"
"gender_hhm_7"
"age_hhm_7"
"gender_hhm_8"
"age_hhm_8"
"gender_hhm_9"
"age_hhm_9"
"gender_hhm_10"
"age_hhm_10"
"gender_hhm_11"
"age_hhm_11"
"gender_hhm_12"
"age_hhm_12"
"gender_hhm_13"
"age_hhm_13"
"gender_hhm_14"
"age_hhm_14"
"gender_hhm_15"
"age_hhm_15"
"age6to13_confirm"
"highest_education"
"highest_education_x"
"highest_primary"
"highest_primary_x"
"highest_grade_ofall"
"highest_grade_ofall_x"
"highest_primary_ofall"
"highest_primary_ofall_x"
"attend_school"
"attend_school_x"
"number_not_attending_school"
"number_not_attending_school_x"
"highest_grade_notattending"
"highest_grade_notattending_x"
"child_mortality"
"child_mortality_x"
"age_child_mortality"
"age_child_mortality_x"
"drinking_water_e"
"drinking_water_x"
"drinking_water_specify_e"
"drinking_water_specify_x"
"water_located_e"
"water_located_x"
"time_for_water"
"time_for_water_x"
"toilet_e"
"toilet_e_x"
"fuel_e"
"fuel_x"
"fuel_specify_e"
"fuel_specify_x"
"cooking_place_e"
"cooking_place_x"
"cooking_place_specify_e"
"cooking_place_specify_x"
"seperate_cook_space_e"
"seperate_cook_space_e_2"
"mains_elec_e"
"mains_elec_x"
"asset1"
"asset2"
"asset3"
"asset4"
"asset5"
"asset6"
"asset7"
"asset8"
"asset9"
"asset1_x"
"asset2_x"
"asset3_x"
"asset4_x"
"asset5_x"
"asset6_x"
"asset7_x"
"asset8_x"
"asset9_x"
"own1"
"own2"
"own3"
"own4"
"own5"
"own6"
"own7"
"own1_x"
"own2_x"
"own3_x"
"own4_x"
"own5_x"
"own6_x"
"own7_x"
"floor"
"floor_x"
"floor_specify"
"floor_specify_2"
"roof"
"roof_x"
"roof_specify"
"roof_specify_x"
"fam_decision_1"
"fam_decision_1_x"
"fam_decision_2"
"fam_decision_2_x"
"fam_decision_3"
"fam_decision_3_x"
"navigate_tablet_e"
"navigate_tablet_x"
"ra_note_e"
"ra_note_x"
"literate_check_e"
"literate_check_x"
"f1"
"f2"
"f3"
"f1_x"
"f2_x"
"f3_x"
"fun1___1"
"fun1___2"
"fun1___3"
"fun1___4"
"fun1___5"
"fun1___6"
"fun1_x___1"
"fun1_x___2"
"fun1_x___3"
"fun1_x___4"
"fun1_x___5"
"fun1_x___6"
"fun2"
"fun2_x"
"instruct_part"
"instruct_part_2"
"head_of_household_demographics_complete"
"staff4"
"date4"
"time4"
"ques_language"
"hoh_last_clinic_any_e"
"hoh_last_clinic_any_x"
"symptom_preffered_clinic"
"symptom_preffered_clinic_x"
"tb_diagnosed_clinic_prefer"
"tb_diagnosed_clinic_prefer_x"
"hiv_clinic_prefer_test"
"hiv_clinic_prefer_test_x"
"hiv_clinic_prefer_treat"
"hiv_clinic_prefer_treat_x"
"non_tb_care_util"
"non_tb_care_util_x"
"type_health_util___1"
"type_health_util___2"
"type_health_util___3"
"type_health_util___4"
"type_health_util_x___1"
"type_health_util_x___2"
"type_health_util_x___3"
"type_health_util_x___4"
"prison"
"prison_x"
"prison_time"
"prison_time_x"
"prison_release"
"prison_release_x"
"mines"
"mines_x"
"mines_time"
"mines_time_x"
"mines_long_ago"
"mines_long_ago_x"
"ss1"
"ss2"
